customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,Age,Income,Purchases,MonthlyCharges,TotalCharges,Churn,Notes
CUST-1427,Female,0,Yes,No,0,Yes,Fiber optic,Month-to-month ,No,Electronic check,43.0,59376.51,6.0,101.92,79.06,No,
CUST-1816,Male,0,Yes,No,57,No,DSL,One year,Yes,Mailed check,70.0,29874.52,21.0,46.34,2546.89,No,
CUST-1258,Female,1,Yes,No,21,Yes,Fiber optic,One year,Yes,Credit card,19.0,25906.88,6.0,86.17,1809.35,No,
CUST-1433,Female,0,Yes,Yes,6,Yes,Fiber optic,One year,Yes,Bank transfer,60.0,75598.21,20.0,47.67,334.06,No,
CUST-1271,Female,0,Yes,No,18,No,Fiber optic,One year,Yes,Mailed check,23.0,53940.73,15.0,55.33, 977.31 ,No,
CUST-1236,Female,0,Yes,No,5,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,67.0,45351.67,5.0,28.4,140.68,No,
CUST-1946,Male,0,Yes,No,60,Yes,Fiber optic,Two year,Yes,Electronic check,43.0,48830.35,21.0,101.19,5982.69,No,
CUST-1074,Male,1,Yes,No,65,Yes,Fiber optic,Month-to-month,Yes,Electronic check,60.0,64108.63,28.0,29.03,1851.32,No,
CUST-1086,Female,0,No,Yes,58,No,Fiber optic,One year,No,Credit card,46.0,54568.14,26.0,116.53,6782.38,No,
CUST-1835,Female,0,No,No,15,Yes,DSL,Month-to-month,Yes,Electronic check,29.0,65704.16,17.0,61.88,879.37,No,
CUST-1022,Female,1,No,No,49,Yes,DSL,Month-to-month,No,Electronic check,41.0,,24.0,86.94,4311.17,No,
CUST-1718,Female,0,No,No,68,Yes,DSL,Month-to-month,Yes,Mailed check,68.0,102066.38,21.0,85.43,5847.88,Yes,
CUST-1295,Female,1,No,Yes,28,Yes,DSL,Month-to-month,No,Bank transfer,28.0,31225.71,12.0,33.03,974.1,Yes,
CUST-1565,Female,0,No,Yes,35,Yes,Fiber optic,Month-to-month,No,Bank transfer,35.0,23281.02,7.0,90.63,3227.38,No,
CUST-1152,Male,0,No,No,66,Yes,Fiber optic,Two year,No,Credit card,36.0,63266.2,27.0,85.39,5635.88,No,
CUST-1536,Female,0,Yes,No,21,No,No,Month-to-month,No,Mailed check,23.0,52819.32,15.0,69.74,1482.57,No,
CUST-1437,Female,1,Yes,No,22,Yes,No,One year,No,Mailed check,,45400.58,14.0,63.52,1352.96,Yes,
CUST-1997,Female,0,No,No,13,Yes,Fiber optic,Month-to-month,No,Credit card,63.0,56828.54,16.0,76.43,970.6,Yes,
CUST-1776,Male,0,Yes,Yes,7,Yes,DSL,Month-to-month,Yes,Credit card,25.0,50564.43,13.0,101.29, 729.54 ,No,
CUST-1308,Female,0,Yes,Yes,52,Yes,Fiber optic,One year,Yes,Mailed check,64.0,51512.55,26.0,105.02,5510.41,No,
CUST-1368,Male,1,Yes,No,61,No,Fiber optic,One year,No,Electronic check,19.0,51625.84,22.0,84.67,5143.03,No,
CUST-1603,Female,1,No,No,10,Yes,Fiber optic,One year,Yes,Bank transfer,65 yrs,42884.34,7.0,71.61,777.36,Yes,
CUST-1154,Male,0,Yes,Yes,57,Yes,DSL,Month-to-month,Yes,Electronic check,43.0,24679.69,19.0,98.18,5621.32,No,
CUST-1942,Female,0,No,Yes,5,Yes,DSL,Two year,Yes,Bank transfer,64.0,69182.13,3.0,105.38,520.53,No,
CUST-1789,Male,0,Yes,,22,Yes,DSL,Month-to-month,Yes,Credit card,57.0,51300.98,17.0,106.63,2359.95,No,
CUST-1253,Male,0,Yes,No,44,Yes,Fiber optic,Two year,Yes,Credit card,62.0,41436.7,14.0,86.44,3811.37,No,
CUST-1572,Male,0,No,No,19,Yes,DSL,Month-to-month,No,Bank transfer,30.0,95513.95,12.0,68.02, 1266.85 ,Yes,
CUST-1996,Male,0,No,Yes,57,Yes,No,Month-to-month,Yes,Mailed check,50.0,82377.73,16.0,28.54,1622.55,Yes,
CUST-1494,Male,0,Yes,No,24,Yes,Fiber optic,Two year,Yes,Bank transfer,21.0,84827.84,8.0,29.75,664.83,No,
CUST-1651,Female,0,Yes,No,16,Yes,DSL,Two year,Yes,Mailed check,20.0,68070.9,16.0,88.83,1399.01,No,
CUST-1466,Female,0,Yes,No,19,Yes,DSL,One year,Yes,Electronic check,29.0,51252.48,17.0,46.31,913.12,Yes,
CUST-1050,Male,0,No,No,61,Yes,Fiber optic,Month-to-month,No,Electronic check,29.0,45994.98,21.0,45.27,2743.52,No,
CUST-1518,Female,1,No,No,3,Yes,Fiber optic,Month-to-month,No,Electronic check,47.0,18342.24,6.0,107.73,360.92,Yes,
CUST-1366,Female,0,Yes,Yes,29,Yes,Fiber optic,Month-to-month,No,Electronic check,50.0,47670.6,26.0,116.36,3368.41,No,
CUST-1332,Female,0,No,No,44,Yes,DSL,Month-to-month,No,Credit card,74.0,50206.18,34.0,31.33,1440.09,No,
CUST-1307,Female,1,Yes,No,48,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,41.0,37228.41,22.0,40.84,1941.75,No,
CUST-1831,Male,0,No,No,3,Yes,No,Month-to-month,No,Mailed check,69.0,46027.1,12.0,52.97,112.15,No,
CUST-1707,Female,0,No,Yes,71,Yes,Fiber optic,Two year,No,Credit card,,43149.28,24.0,106.21,7530.58,No,
CUST-1799,Male,0,Yes,Yes,48,Yes,No,One year,No,Electronic check,21.0,72407.18,20.0,27.66,1362.84,No,
CUST-1978,Female,0,Yes,No,34,Yes,No,Two year,No,Bank transfer,45.0,44225.43,22.0,109.61,,No,
CUST-1386,Male,0,Yes,No,58,Yes,DSL,One year,Yes,Electronic check,53.0,64270.67,23.0,24.64,1482.57,No,
CUST-1138,Male,0,Yes,Yes,49,Yes,No,Month-to-month,Yes,Mailed check,34.0,26284.16,5.0,21.54,960.73,No,
CUST-1126,Female,0,No,No,24,Yes,No,Month-to-month,Yes,Electronic check,46.0,51100.27,16.0,105.79,2566.16,No,
CUST-1377,Male,0,No,No,72,Yes,No,Month-to-month,No,Credit card,46.0,42192.8,23.0,37.62,2722.59,Yes,
CUST-1910,Male,0,No,Yes,71,Yes,No,One year,Yes,Bank transfer,68.0,34227.28,28.0,64.97,4583.63,No,
CUST-1825,Female,0,No,No,0,Yes,No,Month-to-month ,Yes,Credit card,51.0,40784.06,5.0,48.62,105.68,Yes,
CUST-1046,Female,0,No,Yes,5,Yes,No,Month-to-month,Yes,Electronic check,45.0,,4.0,19.6,17.6,Yes,
CUST-1441,Female,0,Yes,No,7,Yes,DSL,One year,No,Bank transfer,56.0,68632.66,15.0,78.12,574.23,No,
CUST-1389,Male,0,No,No,5,Yes,DSL,Month-to-month,Yes,Credit card,50.0,60778.48,8.0,45.81,236.99,Yes,
CUST-1372,Female,0,No,,60,Yes,Fiber optic,Month-to-month,No,Credit card,51.0,46907.28,25.0,116.73,7017.78,No,
CUST-1390,MALE,0,No,No,28,No,DSL,Month-to-month,No,Credit card,72.0,56004.26,11.0,37.46,1040.06,No,
CUST-1109,Male,0,No,No,8,Yes,Fiber optic,Month-to-month,Yes,Electronic check,70.0,81951.33,18.0,72.74,544.86,No,
CUST-1539,Female,0,Yes,,70,Yes,DSL,Month-to-month,Yes,Credit card,50.0,76316.55,24.0,55.53,3921.55,Yes,
CUST-1726,MALE,0,No,Yes,44,Yes,Fiber optic,One year,No,Bank transfer,37.0,64788.93,19.0,72.76,3236.1,No,
CUST-1136,Male,0,No,Yes,40,Yes,Fiber optic,One year,Yes,Electronic check,58.0,46680.57,15.0,55.56,2203.34,No,
CUST-1940,Female,1,Yes,Yes,37,Yes,DSL,Month-to-month,No,Electronic check,68.0,63583.53,26.0,63.94,2355.42,Yes,
CUST-1630,Male,0,No,No,35,Yes,DSL,Two year,No,Bank transfer,24.0,,17.0,112.74,4029.7,No,
CUST-1129,Female,0,No,No,3,Yes,DSL,Month-to-month,No,Electronic check,33.0,58187.35,8.0,35.59,183.04,No,
CUST-1425,Male,0,No,No,66,Yes,Fiber optic,One year,No,Electronic check,53.0,88738.78,24.0,98.73,6514.96,No,
CUST-1416,Male,0,No,No,49,Yes,Fiber optic,Month-to-month,Yes,Electronic check,42.0,26909.89,19.0,61.31,3020.2,No,
CUST-1369,Male,1,Yes,No,48,Yes,DSL,Month-to-month,Yes,Electronic check,40.0,38295.66,14.0,19.92,954.22,No,
CUST-1107,Female,0,No,No,6,Yes,DSL,Two year,Yes,Credit card,67.0,47089.57,17.0,66.0,456.25,No,
CUST-1399,Male,0,No,No,41,Yes,DSL,One year,No,Credit card,33.0,80151.29,30.0,53.68,2246.46,Yes,
CUST-1904,Male,0,Yes,No,64,Yes,DSL,Month-to-month,Yes,Mailed check,62.0,15000.0,21.0,79.17,5085.56,No,
CUST-1544,Male,1,Yes,Yes,46,Yes,DSL,Two year,No,Electronic check,42.0,62860.87,12.0,38.41,1731.99,No,
CUST-1100,Male,0,Yes,No,21,Yes,No,Month-to-month,Yes,Credit card,37.0,43000.97,9.0,65.96,1396.45,Yes,
CUST-1848,Male,1,Yes,No,66,Yes,Fiber optic,One year,Yes,Credit card,69.0,46952.26,9.0,103.59, 6848.02 ,No,
CUST-1941,Male,0,No,No,44,Yes,DSL,One year,No,Bank transfer,61.0,,21.0,51.0,2271.12,No,
CUST-1977,Female,0,No,Yes,62,Yes,Fiber optic,Month-to-month,No,Mailed check,41.0,38350.24,22.0,78.09,4806.52,Yes,
CUST-1219,Male,0,No,Yes,24,No,Fiber optic,Month-to-month,No,Mailed check,58.0,37056.56,13.0,18.82,465.38,No,
CUST-1113,Female,0,No,No,35,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,37.0,53130.22,14.0,24.09,799.25,Yes,
CUST-1623,Female,0,No,No,7,Yes,DSL,Month-to-month,Yes,Credit card,32.0,,17.0,26.95,186.64,No,
CUST-1177,Male,0,Yes,No,55,Yes,DSL,Month-to-month,Yes,Electronic check,22.0,38706.67,22.0,19.21,1023.6,No,
CUST-1294,Female,0,No,Yes,60,Yes,No,Month-to-month,No,Electronic check,23.0,22300.56,6.0,25.05,1432.79,No,
CUST-1048,Female,0,Yes,No,68,Yes,DSL,One year,Yes,Credit card,55.0,75416.46,26.0,26.73,1747.84,No,
CUST-1275,Female,0,No,No,71,Yes,DSL,Month-to-month,No,Electronic check,61.0,47480.9,26.0,101.75,7254.07,No,
CUST-1995,Male,0,No,No,69,Yes,DSL,Month-to-month,No,Bank transfer,63.0,60593.56,21.0,33.44,2316.4,No,
CUST-1405,Female,1,Yes,No,15,Yes,,One year,No,Credit card,41.0,83062.87,16.0,80.62,1198.13,No,
CUST-1712,Male,0,Yes,No,9,Yes,Fiber optic,Month-to-month,Yes,Electronic check,24.0,,20.0,36.33,313.88,No,
CUST-1844,Male,0,No,No,25,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,74.0,62208.68,23.0,38.3,948.85,No,
CUST-1057,Male,0,No,No,2,Yes,DSL,Month-to-month,Yes,Mailed check,68 yrs,74951.88,13.0,30.48,36.62,Yes,
CUST-1811,Male,1,Yes,No,36,Yes,Fiber optic,Month-to-month,No,Bank transfer,62.0,76912.69,19.0,24.93,931.04,No,
CUST-1674,Female,0,Yes,No,62,Yes,DSL,One year,No,Bank transfer,73.0,50427.64,21.0,56.83,3436.7,No,
CUST-1498,Male,1,No,No,18,Yes,DSL,Two year,Yes,Credit card,73.0,48103.88,11.0,73.3,1336.46,No,
CUST-1920,Male,0,Yes,No,51,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,70.0,49211.04,20.0,119.55,6166.05,No,
CUST-1343,Female,1,No,No,65,Yes,Fiber optic,Month-to-month,No,Mailed check,42.0,33146.59,21.0,24.97,1611.24,No,
CUST-1885,Male,0,No,No,22,Yes,Fiber optic,Month-to-month,No,Credit card,30.0,46409.97,11.0,64.35,1416.98,No,
CUST-1605,Male,0,Yes,No,70,Yes,DSL,One year,Yes,Credit card,43.0,94639.07,32.0,116.07,8145.56,No,
CUST-1927,Female,1,Yes,No,62,Yes,DSL,Month-to-month,No,Electronic check,56.0,62737.05,30.0,108.16,6743.06,Yes,
CUST-1124,Male,0,Yes,No,49,Yes,DSL,Month-to-month,No,Bank transfer,36.0,85770.13,16.0,70.98,3489.2,No,
CUST-1858,Female,0,No,Yes,25,Yes,DSL,Month-to-month,Yes,Bank transfer,45.0,77900.8,21.0,71.73,1755.32,No,
CUST-1670,Male,0,No,No,8,Yes,Fiber optic,One year,Yes,Mailed check,24.0,40323.91,8.0,23.55,147.97,No,
CUST-1584,Female,1,Yes,No,55,No,Fiber optic,Month-to-month,Yes,Mailed check,30.0,57645.39,20.0,100.46,5528.36,Yes,
CUST-1225,Female,0,No,No,54,Yes,DSL,Month-to-month,No,Credit card,19.0,66057.73,35.0,36.42,1916.25,No,
CUST-1172,Male,0,Yes,Yes,59,Yes,Fiber optic,Month-to-month,Yes,Credit card,69.0,101549.04,27.0,22.86,1242.07,No,
CUST-1267,Female,1,Yes,No,27,Yes,Fiber optic,Two year,Yes,Mailed check,71.0,34841.53,23.0,77.13,2024.46,No,
CUST-1245,Female,1,No,No,56,Yes,DSL,Month-to-month,No,Mailed check,43.0,24713.44,14.0,48.43,2777.4,No,
CUST-1435,Female,0,Yes,No,52,Yes,DSL,Month-to-month,Yes,Electronic check,34.0,,27.0,95.78,5049.42,No,
CUST-1983,Male,0,No,No,31,Yes,DSL,Month-to-month,Yes,Credit card,44.0,70876.48,20.0,63.27,1925.63,No,
CUST-1373,Female,0,Yes,No,47,Yes,Fiber optic,Month-to-month,Yes,Mailed check,32.0,48250.45,27.0,50.65,2438.68,No,
CUST-1084,Male,0,No,No,47,Yes,Fiber optic,One year,Yes,Bank transfer,49.0,42963.33,10.0,74.31,3531.13,No,
CUST-1917,Female,0,No,No,55,Yes,No,One year,No,Credit card,41.0,53948.29,19.0,27.79,1581.65,No,
CUST-1692,Male,0,Yes,Yes,3,Yes,Fiber optic,One year,Yes,Mailed check,28.0,34024.15,8.0,77.03,231.82,No,
CUST-1699,MALE,0,Yes,No,37,Yes,DSL,Month-to-month ,No,Bank transfer,65.0,64881.0,20.0,100.92,3754.85,No,
CUST-1348,Female,0,No,No,35,Yes,DSL,One year,Yes,Electronic check,21.0,43085.84,14.0,52.66,1825.76,No,
CUST-1400,Female,0,No,No,41,Yes,Fiber optic,One year,Yes,Credit card,69.0,49477.28,11.0,49.96,2032.83,No,
CUST-1570,Female,0,Yes,No,42,Yes,No,Month-to-month,No,Electronic check,25.0,79680.87,18.0,40.72,1676.02,No,
CUST-1063,Male,0,No,,21,Yes,DSL,Month-to-month,Yes,Mailed check,18.0,29690.58,9.0,35.18,706.04,Yes,
CUST-1171,Male,1,Yes,Yes,38,Yes,DSL,Month-to-month ,Yes,Electronic check,41.0,69443.33,18.0,95.2,3541.3,Yes,
CUST-1455,Male,0,No,Yes,55,Yes,Fiber optic,Month-to-month,Yes,Electronic check,21.0,21251.97,26.0,29.94,1698.9,No,
CUST-1769,Male,0,No,No,0,Yes,DSL,Month-to-month,No,Mailed check,44.0,56633.18,9.0,113.46,0.0,Yes,
CUST-1607,Female,0,No,Yes,33,Yes,Fiber optic,One year,No,Mailed check,36.0,40660.82,12.0,66.91,2180.16,No,
CUST-1976,Female,0,Yes,No,18,Yes,DSL,Month-to-month,Yes,Bank transfer,49.0,50717.43,7.0,32.0,,No,
CUST-1143,Female,0,Yes,No,46,No,DSL,One year,No,Bank transfer,47.0,56437.32,29.0,69.85,3222.2,No,
CUST-1269,Male,0,No,No,38,Yes,DSL,Month-to-month,Yes,Credit card,25.0,47162.32,16.0,109.87,4133.93,No,
CUST-1723,Male,1,No,No,21,Yes,No,Month-to-month,Yes,Mailed check,29.0,53065.92,15.0,44.1,965.84,No,
CUST-1532,Male,0,No,Yes,4,Yes,Fiber optic,Two year,Yes,Electronic check,36.0,74944.69,7.0,99.6,447.09,No,
CUST-1833,Female,1,No,Yes,26,Yes,DSL,Two year,Yes,Electronic check,27.0,40735.53,15.0,76.19,2016.65,No,
CUST-1230,Female,0,No,No,35,Yes,DSL,Month-to-month,Yes,Credit card,20.0,65773.68,21.0,23.8,816.7,No,
CUST-1519,Female,0,Yes,No,41,No,No,One year,No,Electronic check,56.0,78414.54,22.0,54.24,2226.93,No,
CUST-1563,Male,0,No,Yes,48,Yes,No,One year,No,Electronic check,67.0,27678.28,14.0,106.25,5102.55,No,
CUST-1610,Male,0,Yes,No,9,Yes,No,Month-to-month,No,Electronic check,38.0,119001.11,16.0,45.11,342.64,No,
CUST-1863,Female,0,No,No,3,Yes,DSL,One year,Yes,Electronic check,68.0,35536.59,0.0,112.32,294.21,No,
CUST-1064,Male,0,No,Yes,25,No,No,Two year,Yes,Mailed check,68.0,29022.74,13.0,96.28,2411.06,No,
CUST-1132,Male,0,No,No,25,Yes,DSL,One year,No,Electronic check,65.0,74030.22,18.0,113.43,2749.94,No,
CUST-1612,Female,0,Yes,Yes,51,Yes,No,Two year,No,Electronic check,71.0,25619.99,22.0,89.47,4560.55,No,
CUST-1317,Male,0,No,No,25,Yes,Fiber optic,Month-to-month,No,Bank transfer,,69430.48,12.0,91.9,2200.95,No,
CUST-1664,Male,0,Yes,No,14,Yes,Fiber optic,Two year,Yes,Credit card,50.0,89834.45,10.0,43.72,623.0,No,
CUST-1081,Female,1,Yes,Yes,26,Yes,DSL,One year,Yes,Credit card,24.0,39328.68,20.0,26.35,668.78,No,
CUST-1961,Male,0,No,No,46,Yes,No,Month-to-month,No,Bank transfer,53.0,34333.92,21.0,28.04,,No,
CUST-1214,Male,0,Yes,No,11,Yes,No,Month-to-month,No,Electronic check,52.0,55841.57,5.0,70.27,715.83,No,
CUST-1115,Female,1,Yes,Yes,45,Yes,No,Month-to-month,No,Credit card,53.0,64856.09,20.0,25.34,1127.18,No,
CUST-1411,Female,0,Yes,Yes,1,Yes,DSL,Month-to-month,No,Electronic check,69.0,81477.83,9.0,92.77,0.0,No,
CUST-1476,Male,0,Yes,Yes,12,Yes,Fiber optic,One year,No,Mailed check,46.0,41288.82,16.0,50.56,591.8,No,
CUST-1735,Male,0,No,No,23,Yes,Fiber optic,Two year,Yes,Mailed check,57.0,69507.17,16.0,94.83,2179.89,No,
CUST-1943,Male,0,No,No,34,Yes,DSL,Month-to-month,Yes,Mailed check,52.0,50534.29,17.0,78.55,2635.5,Yes,
CUST-1812,Male,0,No,No,67,Yes,DSL,Month-to-month,Yes,Mailed check,44.0,47200.95,23.0,86.66, 5726.83 ,No,
CUST-1288,Male,0,No,No,0,Yes,Fiber optic,Month-to-month,No,Bank transfer,63.0,47487.92,2.0,43.08,0.0,No,
CUST-1300,Male,0,No,No,12,No,No,Month-to-month,No,Mailed check,74.0,67050.57,20.0,23.45,244.52,No,
CUST-1879,Male,0,Yes,Yes,4,Yes,No,Month-to-month,Yes,Electronic check,41 yrs,46329.49,11.0,118.84,490.2,Yes,
CUST-1628,Male,0,No,No,27,Yes,Fiber optic,Two year,Yes,Mailed check,41.0,59611.53,20.0,54.95,1462.82,No,
CUST-1453,Female,1,No,No,47,Yes,No,Month-to-month,No,Electronic check,56.0,47496.21,17.0,109.87, 5145.25 ,Yes,
CUST-1167,Male,0,Yes,Yes,7,Yes,DSL,Month-to-month,No,Bank transfer,60.0,54739.13,18.0,62.22,410.77,Yes,
CUST-1757,Male,0,No,No,39,Yes,Fiber optic,One year,Yes,Electronic check,20.0,44332.41,16.0,49.67,1952.84,No,
CUST-1906,Female,0,Yes,No,50,No,DSL,Month-to-month,Yes,Bank transfer,41.0,43890.78,26.0,63.29,3102.63,Yes,
CUST-1679,Female,0,Yes,No,47,Yes,DSL,Month-to-month,Yes,Mailed check,61.0,86601.02,22.0,22.45,1022.0,No,
CUST-1006,Male,1,No,No,50,Yes,Fiber optic,Month-to-month,Yes,Electronic check,,40580.32,17.0,88.27,4375.56,No,
CUST-1721,Male,0,Yes,No,40,Yes,DSL,One year,No,Credit card,59.0,41085.15,19.0,78.63,3065.35,No,
CUST-1556,Female,0,Yes,No,37,Yes,Fiber optic,One year,No,Credit card,73.0,35094.99,12.0,28.4,1057.36,No,
CUST-1384,Male,0,Yes,No,43,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,26.0,42326.55,21.0,40.34,1686.04,No,
CUST-1900,Male,0,No,Yes,68,No,DSL,Two year,No,Mailed check,61.0,,39.0,115.76,7782.91,No,
CUST-1040,Male,1,Yes,No,56,Yes,DSL,Two year,Yes,Credit card,72.0,67405.25,30.0,103.93,5834.56,No,
CUST-1783,Female,0,No,No,61,Yes,Fiber optic,One year,Yes,Credit card,70.0,91675.82,31.0,115.5,7031.81,No,
CUST-1512,Male,1,Yes,No,58,No,DSL,Two year,Yes,Mailed check,42.0,71303.71,21.0,29.39,1622.03,No,
CUST-1662,Male,0,No,Yes,39,Yes,DSL,Month-to-month ,No,Bank transfer,69.0,99449.33,19.0,87.19,3320.14,No,
CUST-1017,Female,0,Yes,No,27,Yes,DSL,Two year,Yes,Electronic check,55.0,43636.44,1.0,69.61,1908.96,No,
CUST-1396,Female,0,No,Yes,63,Yes,No,Month-to-month,Yes,Mailed check,71.0,80160.86,36.0,56.82,3533.31,No,
CUST-1720,Female,1,Yes,No,51,Yes,No,One year,Yes,Bank transfer,29.0,65207.25,26.0,56.98,2868.39,No,
CUST-1838,Female,0,Yes,No,13,Yes,Fiber optic,Month-to-month,No,Electronic check,60.0,38864.14,10.0,37.23,507.2,No,
CUST-1502,Male,1,Yes,No,42,Yes,DSL,One year,No,Bank transfer,27.0,70552.23,13.0,76.51,3232.46,No,
CUST-1683,Female,1,No,No,38,Yes,Fiber optic,Month-to-month,No,Mailed check,29.0,54342.45,24.0,25.86,976.93,No,
CUST-1356,Female,0,No,No,66,No,Fiber optic,Month-to-month,Yes,Bank transfer,19.0,61928.83,12.0,70.02,4641.51,Yes,
CUST-1730,Male,1,No,No,53,Yes,DSL,Two year,No,Mailed check,41.0,91886.83,16.0,84.51,4501.75,No,
CUST-1434,Female,0,No,No,21,Yes,No,Month-to-month,No,Electronic check,59.0,15000.0,14.0,45.18,917.17,Yes,
CUST-1676,Female,0,No,No,37,Yes,DSL,Month-to-month,Yes,Electronic check,29.0,39778.01,14.0,108.96,4047.87,No,
CUST-1928,Female,0,Yes,No,53,Yes,Fiber optic,Month-to-month,No,Bank transfer,46.0,44357.51,24.0,80.81,4309.02,No,
CUST-1018,Female,1,No,Yes,68,Yes,Fiber optic,Month-to-month,Yes,Mailed check,43.0,62557.91,27.0,40.68,2733.1,No,
CUST-1032,Female,1,Yes,No,6,Yes,DSL,Month-to-month,Yes,Bank transfer,35.0,61936.44,13.0,108.99,680.86,No,
CUST-1053,Female,0,No,No,40,Yes,DSL,Month-to-month,No,Mailed check,69.0,31322.48,23.0,25.04,1084.86,Yes,
CUST-1213,Male,0,No,No,67,Yes,DSL,Month-to-month,No,Bank transfer,46 yrs,50533.58,20.0,48.79,3292.75,No,
CUST-1849,Female,0,Yes,No,23,Yes,Fiber optic,Two year,Yes,Mailed check,33.0,44835.54,16.0,93.45,2062.71,No,
CUST-1730,Male,1,No,No,53,Yes,DSL,Two year,No,Mailed check,41.0,91886.83,16.0,84.51,4501.75,No,
CUST-1526,Male,1,No,Yes,17,No,DSL,Month-to-month,No,Bank transfer,18.0,66307.06,10.0,112.98,1940.01,Yes,
CUST-1191,Male,0,No,No,56,Yes,,One year,Yes,Bank transfer,20.0,65124.64,13.0,46.57,2545.28,No,
CUST-1283,Male,0,No,Yes,46,Yes,DSL,One year,No,Bank transfer,27.0,84356.22,22.0,107.92,5001.91,No,
CUST-1913,Female,0,Yes,No,60,Yes,Fiber optic,Month-to-month,Yes,Electronic check,,73403.85,23.0,101.42, 5974.97 ,No,
CUST-1078,Male,0,Yes,No,21,Yes,Fiber optic,Month-to-month,No,Credit card,20.0,19491.01,18.0,22.95,417.27,Yes,
CUST-1600,Male,0,Yes,No,41,Yes,DSL,Month-to-month,Yes,Bank transfer,46.0,45816.69,26.0,42.91,1715.54,Yes,
CUST-1576,Male,0,No,No,29,Yes,DSL,Month-to-month,No,Mailed check,33.0,46577.91,25.0,30.53,966.41,Yes,
CUST-1042,Female,0,Yes,No,61,Yes,Fiber optic,Month-to-month,No,Mailed check,69.0,77511.62,21.0,27.53,,No,
CUST-1597,Male,0,Yes,No,48,Yes,DSL,Two year,Yes,Electronic check,73.0,26872.17,24.0,54.26,2512.35,No,
CUST-1574,Male,1,Yes,Yes,28,Yes,Fiber optic,Two year,Yes,Electronic check,49.0,47881.96,9.0,52.22,1554.69,No,
CUST-1027,Female,0,Yes,No,38,No,DSL,Month-to-month,Yes,Bank transfer,71.0,15000.0,11.0,58.32,2169.42,No,
CUST-1272,Female,0,No,No,14,Yes,No,Month-to-month,Yes,Credit card,48.0,54203.96,9.0,102.58,1509.82,No,
CUST-1326,Male,0,Yes,No,50,Yes,Fiber optic,Month-to-month,Yes,Credit card,25.0,46975.78,20.0,48.33,2385.95,No,
CUST-1567,Female,0,Yes,Yes,25,Yes,No,Two year,No,Electronic check,66.0,48449.56,13.0,65.31,1607.23,No,
CUST-1025,Female,0,Yes,Yes,65,Yes,DSL,Two year,No,Mailed check,48.0,62781.28,29.0,42.55, 2671.12 ,No,
CUST-1208,Female,0,No,Yes,46,Yes,Fiber optic,Month-to-month,Yes,Credit card,25.0,,23.0,81.5,3689.53,No,
CUST-1916,Female,0,No,No,57,Yes,DSL,Two year,Yes,Credit card,46 yrs,70112.39,27.0,71.73,4036.07,No,
